"country","region","GII_2012","maternal_mortality_ratio","adolescent_fertility_rate_gii","seats_parlim_female_gii","labor_participation_female_gii","labor_participation_male_gii","ifpri_hunger_index","ifpri_under5_mortality","ifpri_undernourishment","ifpri_under5_underweight","labor_participation_female","labor_participation_total_ilo","labor_participation_total_nat","labor_participation_ratio_ilo","secondary_school_female","secondary_school_male","secondary_school_female_ratio","contraceptive_prevalence","hiv_rate_female","married_by_18_rate","adolescent_fertility_rate","labor_participation_female_ilo","labor_force_female_percent","account_at_financial_inst_female","female_legislators_officials_mgrs","mean_stunting","mean_malnutrition","secondary_education"
"Montenegro","Europe",NA,8,14.8,12.3,NA,NA,5,0.7,2.8,1.5,25,31.5769229292308,29.1999999442857,72.7323871569231,NA,NA,102.9224,19.7,0,4.8,18.7964307692308,26.6230769524231,43.4455773327692,48.92861,27.0859692960625,7.95,2.2,98.15
"Morocco","Africa",0.444,100,10.8,11,26.2,74.7,5,3.3,5.5,3.1,21.7153845569231,40.1923076923077,40.0538459176923,34.4388795492308,80.2920908333333,81.0842141666667,84.5683076923077,44.4666666666667,40.6076923076923,15.9,34.36103,21.9000000586923,26.7456850666308,26.68675,11.98718331028,19.025,6.475,28.2
"Mozambique","Africa",0.582,490,124.4,39.2,86,82.9,21.5,10.3,39.2,14.9,75.80000305,67.7923067538461,68.40000153,104.700200561538,53.37727,49.727169,73.6513333333333,11.325,54.9461538461538,53.025,161.708015384615,73.9692300649692,53.9849065214385,35.47271,NA,44.65,18.3666666666667,3.75
"Myanmar","Asia",0.437,200,12,4.6,75,82.1,NA,6.2,NA,22.6,NA,57.6307689961538,NA,91.6473821253846,70.1899188888889,73.5672144444444,97.7512,32.06,26.7461538461538,NA,16.6489692307692,57.4461537874692,49.6917796443923,NA,NA,38.8166666666667,27.4333333333333,17.8
"Namibia","Africa",0.455,200,54.4,25,58.6,69.9,18.4,4.2,33.9,17.2,34.999999998,34.8999999115385,42.500001144,82.1242163738462,80.458132,76.892826,112.664875,28.05,54.2923076923077,9.2,73.1236938461538,32.5769232236385,47.1637892111769,NA,34.83099852285,29.5,18.9,33.5
"Nepal","Asia",0.485,170,86.2,33.2,80.4,87.6,17.3,4.8,18,29.1,94.19999695,77.6230768053846,90.59999847,90.73263329,77.71247,79.2004066666667,85.5362307692308,35.46,29.2769230769231,49.4,97.9911853846154,76.7846145629769,49.6298516502,21.21961,13.8356770988,48.95,36.95,28.9
"Nicaragua","Americas",0.461,95,104.9,40.2,46.7,80,9.5,2.6,20.1,5.8,31.55000019,47.6923079869231,48.85000038,53.9571519723077,NA,NA,114.106777777778,47.6666666666667,28.2,41.5,113.132446153846,30.4923075162385,36.0668196228308,12.81508,40.01156175275,22.3333333333333,5.93333333333333,37.75
"Niger","Africa",0.707,590,193.6,13.3,39.9,89.9,20.3,12.5,12.6,35.7,34.550001145,55.8153842046154,54.800001145,43.8451861707692,46.8136041666667,49.9416983333333,61.9824615384615,11.275,50.0230769230769,74.5,211.280138461538,34.6923073988692,31.0453152450231,1.451922,NA,54.375,41.675,5.05
"Nigeria","Africa",NA,630,111.3,6.7,47.9,63.3,15,12.4,8.5,24.2,34.29999924,36.7923076338462,36.5,74.4133748730769,NA,NA,83.3901,12.48,53.7846153846154,40.5666666666667,125.579923076923,33.7076925131,42.1562866464154,25.9904,NA,40.6625,26,NA
"Oman","Asia",0.34,32,9.3,9.6,28.3,81.6,NA,0.9,NA,8.6,19.450000285,37.5384612446154,32.64999962,33.0873502846154,97.6001625,96.7167025,96.8879090909091,12.7,22.3923076923077,NA,16.8139384615385,23.1000000880308,18.2058970401308,63.52985,9.3169798722,9.9,8.6,52.15
